Sample Predictions on Test Data with Features:
    displacement  cylinders  horsepower  weight  acceleration  model_year  origin  True MPG  Predicted MPG
0          262.0        8.0       110.0  3221.0          13.5        75.0     1.0      20.0      19.807677
1          250.0        6.0       100.0  3781.0          17.0        74.0     1.0      16.0      17.202223
2          140.0        4.0        86.0  2790.0          15.6        82.0     1.0      27.0      29.777554
3          440.0        8.0       215.0  4735.0          11.0        73.0     1.0      13.0      10.863865
4          120.0        4.0        87.0  2979.0          19.5        72.0     2.0      21.0      22.573529
5          318.0        8.0       140.0  3735.0          13.2        78.0     1.0      19.4      18.522663
6          429.0        8.0       198.0  4341.0          10.0        70.0     1.0      15.0      11.084758
7          390.0        8.0       190.0  3850.0           8.5        70.0     1.0      15.0      12.899593
8          140.0        4.0        88.0  2890.0          17.3        79.0     1.0      22.3      26.731342
9           70.0        3.0        90.0  2124.0          13.5        73.0     3.0      18.0      28.538790
10         121.0        4.0        80.0  2670.0          15.0        79.0     1.0      27.4      28.353302
11          89.0        4.0        71.0  1925.0          14.0        79.0     2.0      31.9      33.458088
12         156.0        6.0       108.0  2930.0          15.5        76.0     3.0      19.0      25.381095
13         121.0        4.0       112.0  2933.0          14.5        72.0     2.0      18.0      21.524030
14         105.0        4.0        74.0  1980.0          15.3        82.0     2.0      36.0      35.191159
15         232.0        6.0        90.0  3210.0          17.2        78.0     1.0      19.4      22.876990
16         260.0        8.0       110.0  4060.0          19.0        77.0     1.0      17.0      17.612215
17          96.0        4.0        69.0  2189.0          18.0        72.0     2.0      26.0      26.824802
18         360.0        8.0       170.0  4654.0          13.0        73.0     1.0      13.0      11.951115
19         318.0        8.0       135.0  3830.0          15.2        79.0     1.0      18.2      18.714785
20         134.0        4.0        95.0  2515.0          14.8        78.0     3.0      21.1      30.018252
21         307.0        8.0       130.0  4098.0          14.0        72.0     1.0      13.0      14.193687
22         168.0        6.0       120.0  3820.0          16.7        76.0     2.0      16.5      19.875205
23         120.0        4.0        88.0  2160.0          14.5        82.0     3.0      36.0      34.906220
24         351.0        8.0       148.0  4657.0          13.5        75.0     1.0      14.0      13.629295
25         350.0        8.0       155.0  4360.0          14.9        79.0     1.0      16.9      16.211854
26         112.0        4.0        88.0  2605.0          19.6        82.0     1.0      28.0      30.330654
27         140.0        4.0        72.0  2408.0          19.0        71.0     1.0      22.0      22.868908
28         114.0        4.0        91.0  2582.0          14.0        73.0     2.0      20.0      24.754749
29          79.0        4.0        67.0  1963.0          15.5        74.0     2.0      26.0      29.583202
30         140.0        4.0        88.0  2720.0          15.4        78.0     1.0      25.1      26.658290
31          91.0        4.0        68.0  1985.0          16.0        81.0     3.0      34.1      35.834946
32         302.0        8.0       140.0  4638.0          16.0        74.0     1.0      14.0      13.089462
33         258.0        6.0       110.0  3632.0          18.0        74.0     1.0      16.0      17.057123
34         171.0        6.0        97.0  2984.0          14.5        75.0     1.0      18.0      22.011708
35         350.0        8.0       145.0  4440.0          14.0        75.0     1.0      15.0      14.176549
36         173.0        6.0       115.0  2700.0          12.9        79.0     1.0      26.8      25.435531
37         146.0        6.0        97.0  2815.0          14.5        77.0     3.0      22.0      27.251088
38          68.0        4.0        49.0  1867.0          19.5        73.0     2.0      29.0      30.008170
39         120.0        4.0        74.0  2635.0          18.3        81.0     3.0      31.6      33.020739
40          98.0        4.0        65.0  2045.0          16.2        81.0     1.0      34.4      33.231012
41         260.0        8.0       110.0  3365.0          15.5        78.0     1.0      19.9      21.085814
42          97.0        4.0        46.0  1950.0          21.0        73.0     2.0      26.0      29.475856
43          91.0        4.0        69.0  2130.0          14.7        79.0     2.0      37.3      32.774736
44         400.0        8.0       190.0  4325.0          12.2        77.0     1.0      15.5      14.296845
45          97.0        4.0        75.0  2155.0          16.4        76.0     3.0      28.0      31.172022
46         304.0        8.0       150.0  3433.0          12.0        70.0     1.0      16.0      14.658001
47          90.0        4.0        70.0  1937.0          14.0        75.0     2.0      29.0      30.216285
48         360.0        8.0       215.0  4615.0          14.0        70.0     1.0      10.0       9.192394
49          90.0        4.0        70.0  1937.0          14.2        76.0     2.0      29.0      31.039552
50          91.0        4.0        67.0  1995.0          16.2        82.0     3.0      38.0      36.516624
51         198.0        6.0        95.0  3102.0          16.5        74.0     1.0      20.0      20.434635
52         116.0        4.0        81.0  2220.0          16.9        76.0     2.0      25.0      29.126581
53         400.0        8.0       150.0  4464.0          12.0        73.0     1.0      13.0      13.127125
54          89.0        4.0        62.0  1845.0          15.3        80.0     2.0      29.8      34.852840
55          97.0        4.0        75.0  2265.0          18.2        77.0     3.0      26.0      31.542162
56          97.0        4.0        78.0  2300.0          14.5        74.0     2.0      26.0      27.534631
57         122.0        4.0        86.0  2226.0          16.5        72.0     1.0      21.0      23.945809
58          97.0        4.0        88.0  2130.0          14.5        70.0     3.0      27.0      25.754310
Final Training Loss: 1.7343
Final Validation Loss: 1.6549
